OBJECTID,id_no,binomial,orig_area_km2
511,3570,Callithrix aurita,159626.4397532678
512,3571,Callithrix flaviceps,24732.69507852527
513,3572,Callithrix geoffroyi,124967.49042247669
514,41518,Callithrix jacchus,943367.97963910142
515,3575,Callithrix kuhlii,45701.241264371332
516,41519,Callithrix penicillata,1309803.291606626
517,3590,Callorhinus ursinus,16945223.827788569
518,3591,Callosciurus adamsi,97682.509736024673
519,3592,Callosciurus albescens,58797.888546151647
520,3593,Callosciurus baluensis,51137.987718283737
521,3594,Callosciurus caniceps,650694.85264687485
522,3595,Callosciurus erythraeus,4042541.0822175392
523,3596,Callosciurus finlaysonii,730178.2526316758
524,3597,Callosciurus inornatus,309641.99444539251
525,3598,Callosciurus melanogaster,6004.4485083024092
526,3599,Callosciurus nigrovittatus,708578.75000877108
527,3600,Callosciurus notatus,1496325.77098378
528,3601,Callosciurus orestes,50506.650621280824
529,3602,Callosciurus phayrei,153740.4705655181
530,3603,Callosciurus prevostii,1334754.81026563
531,3604,Callosciurus pygerythrus,587612.90760384267
532,3605,Callosciurus quinquestriatus,40860.512078813437
533,42468,Callospermophilus lateralis,1704541.538134485
534,20485,Callospermophilus madrensis,60007.410196484532
535,42562,Callospermophilus saturatus,74907.923501816476
536,3609,Calomys boliviae,129669.8836380283
537,3610,Calomys callidus,55945.554653305051
538,3611,Calomys callosus,3145738.1906843111
539,136689,Calomys expulsus,1360100.279967149
540,136737,Calomys fecundus,54306.51767911169
541,3612,Calomys hummelincki,312461.0212828528
542,3613,Calomys laucha,1437894.7429353329
543,3614,Calomys lepidus,584200.69597957667
544,3615,Calomys musculinus,2024395.736708086
545,3616,Calomys sorellus,244091.88844728351
546,3617,Calomys tener,1710338.240105008
547,136679,Calomys tocantinsi,132797.03048449761
548,136304,Calomys venustus,58305.952458582833
549,3618,Calomyscus bailwardi,185863.8562592252
550,3619,Calomyscus baluchi,426517.24962667288
551,136377,Calomyscus elburzensis,231521.30818411821
552,136252,Calomyscus grandis,6001.300780115118
553,3620,Calomyscus hotsoni,141119.71062893089
554,3621,Calomyscus mystax,208475.66337567661
555,3622,Calomyscus tsolovi,33.537362745128938
556,3623,Calomyscus urartensis,4812.3634087833743
557,3650,Caluromys derbianus,792242.46945319208
558,3648,Caluromys lanatus,5109628.1873221109
559,3649,Caluromys philander,3707265.8387689739
560,3651,Caluromysiops irrupta,182311.07487752181
561,4703,Calyptophractus retusus,269341.4022964515
562,63543,Camelus ferus,202126.34411827699
563,3753,Canis adustus,10712941.134911669
564,118264161,Canis aureus,10745822.146206539
565,3745,Canis latrans,14907547.431993879
566,118264888,Canis lupaster,16357616.47769887
567,3746,Canis lupus,56008826.261664473
