OBJECTID,FID_modeled_reptiles,Binomial,Group,Area (km2)
425,598,Anilios minimus,snake,127.6110636
426,599,Anilios nema,snake,1931.118809
427,600,Anilios nigrescens,snake,148453.4611
428,601,Anilios pilbarensis,snake,3452.399437
429,602,Anilios pinguis,snake,48328.94516
430,603,Anilios proximus,snake,535470.6054
431,604,Anilios robertsi,snake,41.84588896
432,605,Anilios silvia,snake,627.1132963
433,606,Anilios splendidus,snake,2077.633279
434,607,Anilios torresianus,snake,49853.18128
435,608,Anilios tovelli,snake,1564.798715
436,609,Anilios troglodytes,snake,1618.986287
437,610,Anilios unguirostris,snake,1137739.873
438,611,Anilios waitii,snake,8683.455566
439,612,Anilios wiedii,snake,480781.8243
440,613,Anilios yampiensis,snake,1123.873174
441,614,Anilios yirrikalae,snake,775.4689472
442,615,Anilius scytale,snake,837325.9693
443,616,Anisolepis grilli,lizard,7960.001433
444,617,Anisolepis longicauda,lizard,6210.977165
445,618,Anisolepis undulatus,lizard,22206.88468
446,620,Anniella campi,lizard,10.15763291
447,623,Anniella pulchra,lizard,24105.45757
448,624,Anniella stebbinsi,lizard,1774.220537
449,625,Anolis acutus,lizard,31.74574486
450,626,Anolis aeneus,lizard,3871.289329
451,627,Anolis aequatorialis,lizard,8838.703645
452,630,Anolis ahli,lizard,30.05372052
453,631,Anolis alayoni,lizard,77.75250301
454,633,Anolis aliniger,lizard,345.0267866
455,634,Anolis allisoni,lizard,40067.00479
456,635,Anolis allogus,lizard,35118.64303
457,640,Anolis alumina,lizard,105.1603548
458,641,Anolis alutaceus,lizard,31379.3463
459,645,Anolis anchicayae,lizard,6480.443006
460,646,Anolis anfiloquioi,lizard,249.8113142
461,647,Anolis angusticeps,lizard,51854.18749
462,649,Anolis annectens,lizard,751.9319029
463,652,Anolis antonii,lizard,223.6262576
464,653,Anolis apletophallus,lizard,961.0163748
465,654,Anolis apollinaris,lizard,2957.298374
466,655,Anolis aquaticus,lizard,752.5004305
467,656,Anolis argenteolus,lizard,9566.685288
468,657,Anolis argillaceus,lizard,6615.5291
469,658,Anolis armouri,lizard,0.612065399
470,659,Anolis auratus,lizard,461036.7336
471,660,Anolis bahorucoensis,lizard,20.52288129
472,661,Anolis baleatus,lizard,2961.832169
473,662,Anolis baracoae,lizard,31.91683114
474,663,Anolis barahonae,lizard,57.55185758
475,664,Anolis barbatus,lizard,9.996280694
476,665,Anolis barbouri,lizard,655.0551543
477,666,Anolis barkeri,lizard,4134.433077
478,667,Anolis bartschi,lizard,374.1716432
479,668,Anolis beckeri,lizard,9822.310043
480,671,Anolis bicaorum,lizard,14.34950808
481,672,Anolis bimaculatus,lizard,24.74992043
482,673,Anolis binotatus,lizard,7359.257337
483,674,Anolis biporcatus,lizard,71464.72619
484,675,Anolis birama,lizard,9.996280714
485,676,Anolis bitectus,lizard,8004.477557
486,677,Anolis blanquillanus,lizard,8.63559578
487,678,Anolis boettgeri,lizard,372.5223821
488,679,Anolis bombiceps,lizard,59062.63154
489,680,Anolis bonairensis,lizard,9.99628068
490,681,Anolis boulengerianus,lizard,742.3652662
491,682,Anolis brasiliensis,lizard,46891.65193
492,683,Anolis bremeri,lizard,2706.869627
493,685,Anolis brevirostris,lizard,958.7490989
494,686,Anolis brunneus,lizard,323.0226436
495,689,Anolis capito,lizard,26136.01714
496,693,Anolis carolinensis,lizard,201506.728
497,694,Anolis carpenteri,lizard,7153.934198
498,696,Anolis caudalis,lizard,114.6977707
499,697,Anolis centralis,lizard,15882.41548
500,698,Anolis chamaeleonides,lizard,15970.9922
501,699,Anolis charlesmyersi,lizard,1087.883382
502,700,Anolis chloris,lizard,7212.716436
503,701,Anolis chlorocyanus,lizard,5533.992572
504,702,Anolis chocorum,lizard,5680.277554
505,703,Anolis christophei,lizard,113.8702965
506,704,Anolis chrysolepis,lizard,568488.298
507,706,Anolis clivicola,lizard,0.013340455
508,707,Anolis cobanensis,lizard,124.9815771
509,708,Anolis coelestinus,lizard,668.3337586
510,710,Anolis concolor,lizard,13.75866148
511,712,Anolis conspersus,lizard,29.10112528
512,713,Anolis cooki,lizard,9.064299046
513,715,Anolis cristatellus,lizard,788.1051717
514,716,Anolis cristifer,lizard,3057.422961
515,717,Anolis cryptolimifrons,lizard,203.6171916
516,718,Anolis cupeyalensis,lizard,0.087838152
517,719,Anolis cupreus,lizard,19116.38239
518,720,Anolis cuprinus,lizard,2015.776504
519,722,Anolis cusuco,lizard,2.531651376
520,723,Anolis cuvieri,lizard,443.0174424
521,724,Anolis cyanopleurus,lizard,44.33733946
522,725,Anolis cybotes,lizard,5575.08639
523,732,Anolis deltae,lizard,31741.13876
524,733,Anolis desechensis,lizard,1.060017585
525,734,Anolis desiradei,lizard,1.224925075
526,735,Anolis dissimilis,lizard,4177.552487
527,736,Anolis distichus,lizard,8391.260055
528,737,Anolis dolichocephalus,lizard,48.88714657
529,738,Anolis dollfusianus,lizard,19.30030599
530,739,Anolis duellmani,lizard,125.7571719
531,740,Anolis dunni,lizard,28.91075704
532,741,Anolis elcopeensis,lizard,0.132987423
